"sample_id","celltype_id","n_cells","n_PLA","n_platelet_free","freq_PLA","median_nCount_RNA","median_nCount_ADT","median_percent_mt","ci_lower","ci_upper","ci_width","enough_precision","enough_negative_control","usable_celltype_sample","n_markers_total.x","n_markers_tested.x","n_markers_pass.x","mean_median_difference.x","max_pf_overlap.x","sample_adt_status","n_markers_total.y","n_markers_tested.y","n_markers_pass.y","mean_median_difference.y","max_pf_overlap.y","lineage_adt_status","extreme_high_PLA","trusted_pair","final_pair_status"
"GSM8571054_Abd-S9","Monocytes",159,118,41,0.742138364779874,9270,1123,1.99589628800597,0.668994410155219,0.803858145684294,0.134863735529074,TRUE,TRUE,TRUE,3,3,2,0.839651867903953,1,"ADT_ok",3,3,2,0.991651061256995,0.626947754353804,"ADT_ok",FALSE,TRUE,"trusted"
"GSM8571069_Res-S164","Monocytes",583,429,154,0.735849056603774,3426,1096,1.68386746333514,0.698601382220269,0.770008999453574,0.0714076172333049,TRUE,TRUE,TRUE,3,3,2,1.08674673357499,0.346062992125984,"ADT_ok",3,3,2,0.991651061256995,0.626947754353804,"ADT_ok",FALSE,TRUE,"trusted"
"GSM8571072_Res-S183","Monocytes",531,386,145,0.726930320150659,7047,1258,3.21011673151751,0.687506403736412,0.763094416423259,0.0755880126868471,TRUE,TRUE,TRUE,3,3,2,1.07174654229526,0.342062852538276,"ADT_ok",3,3,2,0.991651061256995,0.626947754353804,"ADT_ok",FALSE,TRUE,"trusted"
"GSM8571045_Abd-S45","Monocytes",138,100,38,0.72463768115942,9603.5,1231.5,2.71904272633949,0.644790391524302,0.792317351976673,0.147526960452371,TRUE,TRUE,TRUE,3,3,2,1.20851572363554,0.417206290471785,"ADT_ok",3,3,2,0.991651061256995,0.626947754353804,"ADT_ok",FALSE,TRUE,"trusted"
"GSM8571048_Abd-S55","Monocytes",114,82,32,0.719298245614035,4773.5,857.5,2.05082722406106,0.630706093976073,0.793592794550751,0.162886700574678,FALSE,TRUE,FALSE,3,3,2,0.886416706122559,0.224347826086957,"ADT_ok",3,3,2,0.991651061256995,0.626947754353804,"ADT_ok",FALSE,FALSE,"frequency_QC_fail"
"GSM8571080_Uri-S85","DCs",34,24,10,0.705882352941177,10064,2142,3.00932736834341,0.538310902052856,0.831653693295776,0.29334279124292,FALSE,FALSE,FALSE,3,3,2,1.10348790814549,0.363057324840764,"ADT_ok",3,3,2,0.585985000019452,0.61,"ADT_ok",FALSE,FALSE,"frequency_QC_fail"
"GSM8571080_Uri-S85","Monocytes",336,233,103,0.693452380952381,8346,945,2.77407078494033,0.642197595822652,0.740333718782462,0.0981361229598103,TRUE,TRUE,TRUE,3,3,2,1.10348790814549,0.363057324840764,"ADT_ok",3,3,2,0.991651061256995,0.626947754353804,"ADT_ok",FALSE,TRUE,"trusted"
"GSM8571069_Res-S164","DCs",302,202,100,0.66887417218543,4695,837,1.69134957569121,0.61396696460154,0.71953916106666,0.10557219646512,TRUE,TRUE,TRUE,3,3,2,1.08674673357499,0.346062992125984,"ADT_ok",3,3,2,0.585985000019452,0.61,"ADT_ok",FALSE,TRUE,"trusted"
"GSM8571078_Uri-S134","DCs",109,69,40,0.63302752293578,12003,1091,3.12196842755093,0.539454967188881,0.717542773739666,0.178087806550785,FALSE,TRUE,FALSE,3,3,2,1.05334136422539,0.442718446601942,"ADT_ok",3,3,2,0.585985000019452,0.61,"ADT_ok",FALSE,FALSE,"frequency_QC_fail"
"GSM8571053_Abd-S81","NK cells",27,16,11,0.592592592592593,3540,759,2.39852398523985,0.407267009680647,0.754852429256044,0.347585419575397,FALSE,FALSE,FALSE,3,3,2,0.801220799574982,1,"ADT_ok",3,3,1,0.772462962234435,1,"ADT_suspicious",FALSE,FALSE,"frequency_QC_fail"
"GSM8571079_Uri-S157","DCs",68,40,28,0.588235294117647,9050.5,2128.5,2.39724633655527,0.469614667531054,0.697419802494816,0.227805134963762,FALSE,TRUE,FALSE,3,3,2,0.957135924337797,1,"ADT_ok",3,3,2,0.585985000019452,0.61,"ADT_ok",FALSE,FALSE,"frequency_QC_fail"
