"source","target","ligand.complex","receptor.complex","aggregate_rank","mean_rank","natmi.edge_specificity","natmi.rank","connectome.weight_sc","connectome.rank","logfc.logfc_comb","logfc.rank","sca.LRscore","sca.rank","cellphonedb.pvalue","cellphonedb.rank"
"Monocytes","DCs","ADAM17","IL6R",0.324195728180789,2608.8,0.0729846960751385,1149,0.163000534734251,2565,0.266417788843913,2158,0.76253152786689,5328,0,1844
"CD4 T cells","CD8 T cells","TGFB1","SMAD3",0.324426741436656,3183.4,0.0362732899965014,3506,0.0895466412731623,3345,0.0960537552090522,3191,0.822056364917368,4031,0,1844
"NK cells","Monocytes","SEMA4D","PLXNB2",0.324648730826606,2474.2,0.0556048684774627,1989,0.162834116084623,2566,0.466425519483034,1329,0.797470628457637,4643,0,1844
"DCs","CD4 T cells","S100A8","ITGB2",0.324970310515325,4336.3,0.0315447327842196,4039,-0.306569997301898,6457,-0.593095656197558,6452,0.960291246620462,93,0.998,4640.5
"Monocytes","NK cells","NRG1","SIGLEC7",0.325556016891374,2699,0.0908225660499528,717,0.162568058371773,2568,0.327845764307543,1863,0.651355266881784,6503,0,1844
"CD8 T cells","CD4 T cells","HSPA8","ADRB2",0.325635783852733,2425.8,0.0315622019044982,4034,0.380529635295423,1096,0.337507373826269,1817,0.850183642659176,3338,0,1844
"NK cells","Monocytes","FABP5","RXRA",0.32601030065437,2847,0.0476329860809326,2543,0.16249444207644,2569,0.437591745051998,1431,0.726111054362469,5848,0,1844
"DCs","DCs","CALR","LRP1",0.326039598019172,2739,0.0416925561479668,3014,0.130520214267417,2915,-0.0180107798768869,4035,0.897349693449176,1887,0,1844
"NK cells","B cells","HSP90B1","TLR4",0.326443812695533,3082.6,0.0358530537127046,3538,0.125390118853456,2956,0.11750684053439,3039,0.821785231127344,4036,0,1844
"DCs","DCs","CD14","RIPK1",0.326465011800269,2669,0.0504582393745062,2344,0.180378583483736,2414,0.191912186683746,2570,0.81657406663051,4173,0,1844
