"source","target","ligand.complex","receptor.complex","aggregate_rank","mean_rank","natmi.edge_specificity","natmi.rank","connectome.weight_sc","connectome.rank","logfc.logfc_comb","logfc.rank","sca.LRscore","sca.rank","cellphonedb.pvalue","cellphonedb.rank"
"Monocytes","Monocytes","GNAI2","C5AR1",0.0065308535606609,699.4,0.123806897357614,517,1.55192420453252,96,1.37750383568228,321,0.939001497793039,686,0,1877
"B cells","DCs","HLA-DRA","CD4",0.0066424540074718,715.4,0.121901424606484,535,1.09528542812841,418,2.19051997420911,58,0.938801398917023,689,0,1877
"DCs","Monocytes","PF4","LRP1",0.00677878851158605,1093,0.2409362844097,47,1.5495359842206,97,1.43731548567435,277,0.848628618415352,3167,0,1877
"DCs","B cells","NRG1","HLA-DPB1",0.00677878851158605,969.8,0.187419867273044,136,1.21968769903726,277,1.43926363313324,275,0.887234041803644,2284,0,1877
"Monocytes","Monocytes","SEMA4A","LILRB2",0.00685043742757669,970.6,0.209888543638351,93,1.73383555897442,59,1.43715450603305,278,0.876675592133568,2546,0,1877
"Monocytes","Monocytes","TIMP1","CD63",0.00690829092447722,665.6,0.106416707207947,696,1.31556349587736,205,1.7387917699606,135,0.950696560951129,415,0,1877
"DCs","B cells","TNFSF13B","CD40",0.00692257463302409,849,0.285213713463861,26,1.50892513028514,106,1.43577697928027,279,0.898965034871224,1957,0,1877
"Monocytes","Monocytes","VCAN","TLR1",0.00706831970639948,948.6,0.15549564598831,281,1.45906571750206,128,1.60571652749041,175,0.887365084767285,2282,0,1877
"Monocytes","B cells","VCAN","SELL",0.00714229212261299,706.2,0.105540754398432,702,1.32746975110521,196,1.46700101008265,262,0.947088105800655,494,0,1877
"DCs","B cells","VCAN","SELL",0.00726144760443432,699.4,0.105313236143727,705,1.32453374890834,198,1.51742854089807,221,0.947034006979092,496,0,1877
"DCs","Monocytes","VCAN","TLR1",0.00729063564496965,946.8,0.155160438056633,284,1.45612971530519,132,1.65614405830584,158,0.887257192210115,2283,0,1877
"NK cells","Monocytes","HLA-B","LILRB2",0.00729063564496965,662,0.091114705626465,922,1.41421139469205,148,1.43067979511335,284,0.96596556408789,79,0,1877
"DCs","Monocytes","CD14","TLR6",0.00744132862986768,1177.4,0.174767302612761,187,1.48043662839256,120,1.42327024125784,286,0.835680051314738,3417,0,1877
"DCs","Monocytes","SEMA4A","LILRB2",0.00767112035198941,998.8,0.194139020747281,121,1.6878865178255,65,1.41850922638174,289,0.872396653509368,2642,0,1877
"B cells","Monocytes","HLA-DRB1","CD4",0.00779469949168101,757.8,0.118938970249602,563,1.03714373438315,488,1.69497734512527,143,0.937446643510859,718,0,1877
"DCs","Monocytes","GRN","SORT1",0.00782683301346786,943.8,0.16533682641472,233,1.58028943107603,86,1.41772010775555,291,0.889364089602666,2232,0,1877
"B cells","Monocytes","HLA-DPA1","CD4",0.00800724300973938,770.8,0.121041518605329,547,1.01582618683298,516,1.5813372028247,191,0.937199559900704,723,0,1877
"B cells","DCs","FCER2","ITGAM_ITGB2",0.00806420777063549,624,0.224983011865739,66,1.20586179191044,294,1.66029012169774,154,0.93697941877936,729,0,1877
"DCs","Monocytes","GNAI2","C5AR1",0.00818031090765957,738.6,0.115829327131523,591,1.47349408826213,121,1.28588156310906,377,0.937065879930376,727,0,1877
"DCs","NK cells","CD14","ITGB2",0.00822501134589259,675.4,0.0875101340331901,990,1.5026038748943,107,1.88479873108051,107,0.95682316444653,296,0,1877
"Monocytes","CD8 T cells","S100A8","CD69",0.00835610362884022,679.2,0.103443889967709,731,1.22578144091171,272,1.88702393611875,105,0.950871535422191,411,0,1877
"DCs","CD8 T cells","S100A8","CD69",0.00862496003955301,675.6,0.102524996757904,737,1.21263818981423,285,2.13509558919052,63,0.950662704368564,416,0,1877
"DCs","DCs","GRN","TNFRSF1B",0.00890009751456209,676.4,0.102103739818937,743,1.49348236731158,112,1.8070025050654,123,0.945434793260322,527,0,1877
"NK cells","Monocytes","B2M","LILRB2",0.00897423538571966,660.6,0.0910172976772345,928,1.39448928874539,158,1.39969965352632,305,0.968725534723195,35,0,1877
"Monocytes","B cells","TNFSF13B","TNFRSF13C",0.00906009722644737,894.6,0.425665052388135,9,1.63084406724253,78,1.39712546610973,306,0.890507191934968,2203,0,1877
"DCs","Monocytes","LGALS9","LRP1",0.00906009722644737,781.4,0.150620521203432,306,1.75024487993383,57,1.51939599884671,220,0.915112660616546,1447,0,1877
"CD4 T cells","CD8 T cells","HLA-A","CD8B",0.00918160676846794,690.6,0.151243119039559,303,0.875223933966855,749,1.27737130282287,382,0.962949275252854,142,0,1877
"Monocytes","DCs","VCAN","CD44",0.00927687488046187,666.8,0.101495123318052,751,1.49272008438282,113,1.77043337382818,128,0.94862646148652,465,0,1877
"NK cells","DCs","SPON2","ITGB2",0.00946957896023248,683.2,0.15088162884857,305,0.87079679213529,755,1.85322501275,115,0.953281044461238,364,0,1877
"DCs","DCs","VCAN","CD44",0.00946957896023248,667,0.101276326385531,755,1.48978408218595,116,1.8208609046436,119,0.94857385012395,468,0,1877
"CD4 T cells","CD8 T cells","HLA-E","CD8B",0.009714558823909,707.6,0.152913058799367,293,0.866315766372351,760,1.30307334000229,367,0.959163233082599,241,0,1877
"Monocytes","NK cells","LYZ","ITGAL",0.00976410568849548,691.6,0.101034330442374,761,1.45733116365458,130,2.10099077158347,68,0.941302032263004,622,0,1877
"NK cells","Monocytes","HLA-F","LILRB2",0.00981383717906165,762.2,0.108258473157583,674,1.33417496784969,191,1.39407999836089,307,0.9359617093248,762,0,1877
